 num     #instances         #bytes  class name (module)
 323:             1             56  jdk.internal.org.objectweb.asm.Label (java.base@21.0.11)
 324:             1             48  [Ljava.math.RoundingMode; (java.base@21.0.11)
 325:             1             48  [Ljava.util.concurrent.TimeUnit; (java.base@21.0.11)
 326:             1             48  boxOfActin.MotorBindGrid3D$FillThreads
 327:             1             48  ec.util.MersenneTwister
 328:             1             48  java.io.BufferedInputStream (java.base@21.0.11)
 329:             2             48  java.io.File$PathStatus (java.base@21.0.11)
 330:             2             48  java.io.OutputStreamWriter (java.base@21.0.11)
 331:             2             48  java.lang.NamedPackage (java.base@21.0.11)
 332:             1             48  java.lang.NullPointerException (java.base@21.0.11)
 333:             1             48  java.lang.invoke.BoundMethodHandle$Specializer$Factory (java.base@21.0.11)
 334:             1             48  java.lang.invoke.BoundMethodHandle$Species_LLL (java.base@21.0.11)
 335:             3             48  java.nio.charset.CodingErrorAction (java.base@21.0.11)
 336:             2             48  java.security.Permissions (java.base@21.0.11)
 337:             3             48  java.text.AttributedCharacterIterator$Attribute (java.base@21.0.11)
 338:             3             48  java.util.Optional (java.base@21.0.11)
 339:             3             48  java.util.ResourceBundle$NoFallbackControl (java.base@21.0.11)
 340:             2             48  java.util.concurrent.ConcurrentLinkedQueue (java.base@21.0.11)
 341:             2             48  java.util.concurrent.ConcurrentLinkedQueue$Node (java.base@21.0.11)
 342:             2             48  java.util.regex.Pattern$$Lambda/0x800000029 (java.base@21.0.11)
 343:             2             48  java.util.regex.Pattern$$Lambda/0x800000031 (java.base@21.0.11)
 344:             2             48  java.util.regex.Pattern$Start (java.base@21.0.11)
 345:             1             48  jdk.internal.jimage.ImageHeader (java.base@21.0.11)
 346:             2             48  jdk.internal.misc.Signal$NativeHandler (java.base@21.0.11)
 347:             3             48  jdk.internal.module.ServicesCatalog (java.base@21.0.11)
 348:             2             48  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@21.0.11)
 349:             2             48  jdk.internal.reflect.ReflectionFactory$Config (java.base@21.0.11)
 350:             3             48  sun.nio.fs.UnixFileAttributes$UnixAsBasicFileAttributes (java.base@21.0.11)
 351:             2             48  sun.security.util.LazyCodeSourcePermissionCollection (java.base@21.0.11)
 352:             1             40  [Ljava.lang.Thread$State; (java.base@21.0.11)
 353:             1             40  [Ljava.lang.invoke.VarHandle$AccessType; (java.base@21.0.11)
 354:             1             40  [Ljava.util.stream.StreamOpFlag; (java.base@21.0.11)
 355:             1             40  [Lsun.util.locale.provider.LocaleProviderAdapter$Type; (java.base@21.0.11)
 356:             1             40  [[Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.11)
 357:             1             40  boxOfActin.ActA$ActAThreads
 358:             1             40  boxOfActin.Arp23$Arp23Threads
 359:             1             40  boxOfActin.Crucible$ChamberMyoDThreads
 360:             1             40  boxOfActin.Crucible$ChamberMyoThreads
 361:             1             40  boxOfActin.FilLink$XLinkThreads
 362:             1             40  boxOfActin.Mesh$CkMeshThreads
 363:             1             40  boxOfActin.Mesh$CkMotsThreads
 364:             1             40  boxOfActin.Mesh$MeshThreads
 365:             1             40  boxOfActin.MyoMiniFilament$MyoMiniFilThreads
 366:             1             40  boxOfActin.Myosin$MyosinThreads
 367:             1             40  boxOfActin.MyosinDimer$MyoDimerThreads
 368:             1             40  boxOfActin.NodeLink$NodeLinkThreads
 369:             1             40  boxOfActin.ProteinNode$ProteinNodeThreads
 370:             1             40  boxOfActin.StickyNode$MembraneNodeThreads
 371:             1             40  boxOfActin.Thing$ThingBrownianThreads
 372:             1             40  boxOfActin.Thing$ThingStepThreads
 373:             1             40  java.lang.ArithmeticException (java.base@21.0.11)
 374:             1             40  java.lang.Package$VersionInfo (java.base@21.0.11)
 375:             1             40  java.lang.VirtualMachineError (java.base@21.0.11)
 376:             1             40  java.util.ResourceBundle$2 (java.base@21.0.11)
 377:             1             40  jdk.internal.loader.URLClassPath (java.base@21.0.11)
 378:             1             40  jdk.internal.ref.CleanerImpl$CleanerCleanable (java.base@21.0.11)
 379:             1             40  sun.awt.resources.awt (java.desktop@21.0.11)
 380:             1             40  sun.text.resources.cldr.FormatData (java.base@21.0.11)
 381:             1             40  sun.text.resources.cldr.FormatData_en (java.base@21.0.11)
 382:             1             40  sun.util.locale.InternalLocaleBuilder (java.base@21.0.11)
 383:             1             40  sun.util.resources.Bundles$1 (java.base@21.0.11)
 384:             1             40  sun.util.resources.cldr.CalendarData (java.base@21.0.11)
 385:             2             32  [LboxOfActin.Pt3D;
 386:             1             32  [Ljava.lang.ProcessImpl$LaunchMechanism; (java.base@21.0.11)
 387:             2             32  [Ljava.lang.StackTraceElement; (java.base@21.0.11)
 388:             1             32  [Ljava.lang.ThreadGroup; (java.base@21.0.11)
